ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),Unnamed: 7,clarity_score,naturalness_score,correctness_score,has_critical_error
SB-2115,bedrock-claude-3-5-sonnet,Yoruba,Clean Water and Sanitation,1,2025-11-27T12:30:24.279913,Omi mímu àti ìmọ́tótó jẹ́ pàtàkì fún ìlera wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Clean_Water_and_Sanitation-0,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
ZR-6938,bedrock-claude-3-5-sonnet,Yoruba,Clean Water and Sanitation,10,2025-11-27T12:30:24.280029,Omi tútù jẹ́ pàtàkì fún ìlera àti ìmọ́tótó wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Clean_Water_and_Sanitation-9,claude-3-5-sonnet-20241022-v2,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,5,5,5,0
BM-8687,bedrock-claude-3-5-sonnet,Yoruba,Clean Water and Sanitation,12,2025-11-27T12:30:24.279325,Omi tó mọ́ jẹ́ ohun pàtàkì fún ìlera wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Clean_Water_and_Sanitation-11,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,6,7,0
SH-7416,bedrock-claude-3-5-sonnet,Yoruba,Clean Water and Sanitation,19,2025-11-27T12:30:24.281359,Omi tútù jẹ́ ohun pàtàkì fún ìlera àti ìmọ́tótó.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Clean_Water_and_Sanitation-18,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,6,6,0
WB-8989,bedrock-claude-3-5-sonnet,Yoruba,Clean Water and Sanitation,40,2025-11-27T12:30:24.281967,Omi tó mọ́ jẹ́ pàtàkì fún ìlera àti ìtọ́jú ara wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Clean_Water_and_Sanitation-39,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,7,6,0
VT-2172,bedrock-claude-3-5-sonnet,Yoruba,Climate Action,6,2025-11-27T12:30:24.284277,Gbogbo wa gbọdọ darapọ mọ ìgbìyànjú láti dá òtútù ayé dúró.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Climate_Action-5,claude-3-5-sonnet-20241022-v2,4 - Neutral / Neither easy nor difficult to read,5 - Somewhat natural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,,4,5,4,0
FG-3206,bedrock-claude-3-5-sonnet,Yoruba,Climate Action,14,2025-11-27T12:30:24.287350,Àwọn ènìyàn gbọ́dọ̀ dáàbòbò ayé wa kúrò lọ́wọ́ ìyípadà ojú ọjọ́.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Climate_Action-13,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,5 - Somewhat natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,5,6,0
CV-6329,bedrock-claude-3-5-sonnet,Yoruba,Climate Action,20,2025-11-27T12:30:24.288049,Àwọn ọmọ ilẹ̀ wa gbọ́dọ̀ dáàbò bo ayé wa lọ́wọ́ ìyípadà ojú ọjọ́.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Climate_Action-19,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,6,6,0
IK-1168,bedrock-claude-3-5-sonnet,Yoruba,Climate Action,43,2025-11-27T12:30:24.283668,Gbogbo wa gbọdọ da ọwọ pọ lati gba ayika wa là.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Climate_Action-42,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,7,6,6,0
MR-5487,bedrock-claude-3-5-sonnet,Yoruba,Climate Action,44,2025-11-27T12:30:24.285525,Gbogbo wa gbọdọ darapọ mọ ìjàkadì lati dabo bo ayika wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Climate_Action-43,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,7,6,6,0
AZ-9986,bedrock-claude-3-5-sonnet,Yoruba,Crime and Law,18,2025-11-27T12:30:24.268260,Olọ́pàá ti mú olè tó jí owó ní bánkì lánàá.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Crime_and_Law-17,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
DN-2299,bedrock-claude-3-5-sonnet,Yoruba,Crime and Law,27,2025-11-27T12:30:24.268096,Olọ́pàá ti mú olè tó jí ọkọ̀ lọ́jọ́ àná.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Crime_and_Law-26,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
SY-1191,bedrock-claude-3-5-sonnet,Yoruba,Crime and Law,31,2025-11-27T12:30:24.268231,Olọ́pàá ti mú olè tó jí mọ́tò mi lánàá.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Crime_and_Law-30,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
ZJ-8564,bedrock-claude-3-5-sonnet,Yoruba,Crime and Law,43,2025-11-27T12:30:24.268739,Olọ́pàá ti mú olè tó jí ọkọ̀ ní ọjà Ọ̀jà-Ọba.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Crime_and_Law-42,claude-3-5-sonnet-20241022-v2,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,Ọlọ́pàá ti mú olè tó jí ọkọ̀ ní ọjà Ọ̀jà-Ọba.,5,5,5,0
MU-7997,bedrock-claude-3-5-sonnet,Yoruba,Crime and Law,47,2025-11-27T12:30:24.268242,Olọ́pàá ti mú olè tó jí ọkọ̀ ní ọjà.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Crime_and_Law-46,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,7,7,6,0
BF-4629,bedrock-claude-3-5-sonnet,Yoruba,Culture,7,2025-11-27T12:30:24.268453,Àṣà Yorùbá jẹ́ ohun tó ṣe pàtàkì fún àwọn ènìyàn wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Culture-6,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,7,7,6,0
TV-6065,bedrock-claude-3-5-sonnet,Yoruba,Culture,37,2025-11-27T12:30:24.269167,Àṣà wa jẹ́ ohun tó ṣe pàtàkì fún àwọn ọmọ Yorùbá.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Culture-36,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
WH-0745,bedrock-claude-3-5-sonnet,Yoruba,Culture,41,2025-11-27T12:30:24.268613,Àṣà Yorùbá jẹ́ ohun tí a fi ṣe ìgbéga orílẹ̀-èdè wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Culture-40,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,6,6,0
AK-4447,bedrock-claude-3-5-sonnet,Yoruba,Culture,47,2025-11-27T12:30:24.269386,Àṣà Yorùbá jẹ́ ohun tó dára fún àwọn ọmọ wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Culture-46,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
WV-1324,bedrock-claude-3-5-sonnet,Yoruba,Culture,50,2025-11-27T12:30:24.268314,Àṣà wa jẹ́ ohun tó ṣe pàtàkì fún wa ní ilẹ̀ Yorùbá.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Culture-49,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
XO-5469,bedrock-claude-3-5-sonnet,Yoruba,Decent Work and Economic Growth,2,2025-11-27T12:30:24.282939,Ise ti a fi ọwọ ṣe ni yoo mu ọrọ ajẹ wa dara si.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Decent_Work_and_Economic_Growth-1,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,6,6,5,0
UC-3736,bedrock-claude-3-5-sonnet,Yoruba,Decent Work and Economic Growth,17,2025-11-27T12:30:24.282305,Ọpọlọpọ awọn ọmọ Naijiria n wa iṣẹ to dara lati pese fun ẹbi wọn.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Decent_Work_and_Economic_Growth-16,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,6,6,5,0
XP-8508,bedrock-claude-3-5-sonnet,Yoruba,Decent Work and Economic Growth,30,2025-11-27T12:30:24.287114,Ìdàgbàsókè ọrọ̀-ajé àti iṣẹ́ tó dára jẹ́ pàtàkì fún ìlọsíwájú orílẹ̀-èdè wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Decent_Work_and_Economic_Growth-29,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
ZF-1486,bedrock-claude-3-5-sonnet,Yoruba,Decent Work and Economic Growth,31,2025-11-27T12:30:24.283655,Ọ̀pọ̀lọpọ̀ àwọn ènìyàn ń ṣiṣẹ́ ní ilé-iṣẹ́ tuntun yìí fún owó tó dára.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Decent_Work_and_Economic_Growth-30,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,6,6,0
EY-8902,bedrock-claude-3-5-sonnet,Yoruba,Decent Work and Economic Growth,34,2025-11-27T12:30:24.282599,Ṣiṣẹ́ tó dára pẹ̀lú owó tó tọ́ jẹ́ ẹ̀tọ́ gbogbo ènìyàn.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Decent_Work_and_Economic_Growth-33,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,Ṣi siṣẹ́ tó dára pẹ̀lú owó tó tọ́ jẹ́ ẹ̀tọ́ gbogbo ènìyàn.,6,6,6,0
GG-0307,bedrock-claude-3-5-sonnet,Yoruba,Disasters and Accidents,8,2025-11-27T12:30:24.270244,Ìjàmbá ọkọ̀ ayọ́kẹ́lẹ́ náà pa ọ̀pọ̀lọpọ̀ ènìyàn lónìí.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Disasters_and_Accidents-7,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
BL-3457,bedrock-claude-3-5-sonnet,Yoruba,Disasters and Accidents,16,2025-11-27T12:30:24.268910,Ọkọ ofurufu naa ṣubu sinu igbo nitori oju ọjọ buruku.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Disasters_and_Accidents-15,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,4 - Neutral / Neither natural nor unnatural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,6,4,5,0
QM-1035,bedrock-claude-3-5-sonnet,Yoruba,Disasters and Accidents,22,2025-11-27T12:30:24.269294,Ìjàmbá ọkọ̀ ayọ́kẹ́lẹ́ yìí pa èèyàn mẹ́ta lánàá.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Disasters_and_Accidents-21,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
PT-7279,bedrock-claude-3-5-sonnet,Yoruba,Disasters and Accidents,34,2025-11-27T12:30:24.269926,Ọkọ̀ náà ṣubú sínú odò ńlá nítorí òjò nlá.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Disasters_and_Accidents-33,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,7,7,6,0
RL-5241,bedrock-claude-3-5-sonnet,Yoruba,Disasters and Accidents,40,2025-11-27T12:30:24.268921,Ojo nla ti ro titi o fi mu ile-ile wa wo.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Disasters_and_Accidents-39,claude-3-5-sonnet-20241022-v2,5 - Somewhat easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,5,6,5,0
JA-6029,bedrock-claude-3-5-sonnet,Yoruba,Entertainment,22,2025-11-27T12:30:24.270985,Ọmọdé náà ń jó sí orin tuntun tí wọ́n ń bọ̀ lórí rédíò.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Entertainment-21,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,Ọmọdé náà ń jó sí orin tuntun tí wọ́n ń gbọ̀ lórí rédíò.,6,6,5,0
YG-3334,bedrock-claude-3-5-sonnet,Yoruba,Entertainment,27,2025-11-27T12:30:24.269873,Ọmọ mi fẹ́ràn láti jó orin Yorùbá ní ọjọ́ àsè.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Entertainment-26,claude-3-5-sonnet-20241022-v2,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,5,5,5,0
UN-8007,bedrock-claude-3-5-sonnet,Yoruba,Entertainment,29,2025-11-27T12:30:24.268545,Àwọn ọ̀rẹ́ mi fẹ́ràn láti jó ní ibi ìdárayá.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Entertainment-28,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,6,6,0
EU-2903,bedrock-claude-3-5-sonnet,Yoruba,Entertainment,34,2025-11-27T12:30:24.270357,Àwọn ọ̀rẹ́ mi fẹ́ràn láti jó ní ilé eré.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Entertainment-33,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,7,6,6,0
IT-4466,bedrock-claude-3-5-sonnet,Yoruba,Entertainment,47,2025-11-27T12:30:24.272246,Ṣé o ti wo fíìmù tuntun tí wọ́n fi sílẹ̀ ní ọ̀sẹ̀ yìí?,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Entertainment-46,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,6,7,0
LO-4374,bedrock-claude-3-5-sonnet,Yoruba,Environment,20,2025-11-27T12:30:24.268830,Àwọn igi àti ewébẹ̀ jẹ́ ìlera fún àyíká wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Environment-19,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
VQ-9691,bedrock-claude-3-5-sonnet,Yoruba,Environment,26,2025-11-27T12:30:24.271515,Àjálù omi túbọ̀ ń bàjẹ́ àyíká wa lójoojúmọ́.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Environment-25,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,Àjálù omi túbọ̀ ń bà àyíká wa jẹ́ lójoojúmọ́.,6,6,5,0
AQ-5899,bedrock-claude-3-5-sonnet,Yoruba,Environment,31,2025-11-27T12:30:24.269648,Àwọn igi àti ewé jẹ́ ìlera fún ayíká wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Environment-30,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,6,6,6,0
JJ-1715,bedrock-claude-3-5-sonnet,Yoruba,Environment,35,2025-11-27T12:30:24.273174,Àwọn igi ńlá ni igbó yìí ń fún wa ní afẹ́fẹ́ dára.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Environment-34,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,,7,6,5,0
IU-5444,bedrock-claude-3-5-sonnet,Yoruba,Environment,50,2025-11-27T12:30:24.273203,Àyíká wa kò gbọdọ̀ di àjàgbé fún ìgbàlódé wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Environment-49,claude-3-5-sonnet-20241022-v2,4 - Neutral / Neither easy nor difficult to read,6 - Natural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,,4,6,4,0
GE-8309,bedrock-claude-3-5-sonnet,Yoruba,Gender Equality,3,2025-11-27T12:30:24.278666,Ọkunrin àti obìnrin ní ẹ̀tọ́ kan náà ní ilẹ̀ wa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Gender_Equality-2,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,,7,7,7,0
MV-5207,bedrock-claude-3-5-sonnet,Yoruba,Gender Equality,29,2025-11-27T12:30:24.280467,Ọkùnrin àti obìnrin ní ẹ̀tọ́ kan náà láyé.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Gender_Equality-28,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,,7,7,6,0
